Sexo;Titulación;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Ingeniería de la energía;ESO, EGB, etc ...;1,7
Ambos sexos;Ingeniería eléctrica;Doctorado;0,0
Ambos sexos;Ingeniería eléctrica;Máster;11,3
Ambos sexos;Ingeniería eléctrica;Título universitario (excepto doctorado o máster);77,5
Ambos sexos;Ingeniería eléctrica;Formación profesional de grado superior;8,7
Ambos sexos;Ingeniería eléctrica;Formación profesional de grado medio / bachillerato;2,2
Ambos sexos;Ingeniería eléctrica;Formación profesional básica;0,0
Ambos sexos;Ingeniería eléctrica;ESO, EGB, etc ...;0,3
Ambos sexos;Ingeniería de computadores;Doctorado;5,3
Ambos sexos;Ingeniería de computadores;Máster;8,7
Ambos sexos;Ingeniería de computadores;Título universitario (excepto doctorado o máster);75,6
Ambos sexos;Ingeniería de computadores;Formación profesional de grado superior;7,5
Ambos sexos;Ingeniería de computadores;Formación profesional de grado medio / bachillerato;2,9
Ambos sexos;Ingeniería de computadores;Formación profesional básica;0,0
Ambos sexos;Ingeniería de computadores;ESO, EGB, etc ...;0,0
Ambos sexos;Ingeniería de sonido e imagen;Doctorado;1,0
Ambos sexos;Ingeniería de sonido e imagen;Máster;17,7
